model,gpt-3.5-turbo_theta,google/gemini-2.5-flash-preview-05-20_theta,anthropic/claude-3-5-haiku-20241022_theta,mistral-medium-latest_theta
GPT4o-mini,1.5526167408887448,1.9183266922827265,2.2702579391891167,1.6120788970402669
checkpoint-1000-inputs-refs-preds-1000-examples,0.708541214358224,2.9148697162990636,0.6923134571251652,1.2220234142952375
checkpoint-10000-inputs-refs-preds-1000-examples,0.642334926954073,3.4831861833971853,2.0812098139735276,0.7227188435673839
checkpoint-1500-inputs-refs-preds-1000-examples,3.3311666042642702,0.9803999272176185,1.478028704714011,1.3440482705125498
checkpoint-2000-inputs-refs-preds-1000-examples,1.096330796403691,0.5643321944034132,0.921689508188184,0.3680683652058611
checkpoint-2500-inputs-refs-preds-1000-examples,1.709649572779655,1.5513128844519495,2.4746753480037005,1.4646256666863036
checkpoint-3000-inputs-refs-preds-1000-examples,1.418782407665129,0.7827448468100253,0.8104229230722908,1.5164992362453396
checkpoint-3500-inputs-refs-preds-1000-examples,0.5327768826004616,1.6358651721430844,0.7169525347819576,1.3686321512902169
checkpoint-4000-inputs-refs-preds-1000-examples,0.39654537579492966,1.062389881884887,1.5031541150956647,1.0718267317423174
checkpoint-4500-inputs-refs-preds-1000-examples,1.0408572789414892,0.3316851549830199,0.7603160406640764,0.6958361765351847
checkpoint-5000-inputs-refs-preds-1000-examples,0.38412317030092014,0.46186282410981705,0.19472702298510286,0.4491639529482286
checkpoint-5500-inputs-refs-preds-1000-examples,2.345443418701441,1.3577533880880688,2.004701780973774,1.006664966973546
checkpoint-6000-inputs-refs-preds-1000-examples,1.6915480087759807,1.2581552438732182,0.5223580000281074,0.5659639027863919
checkpoint-6500-inputs-refs-preds-1000-examples,1.4409148705759036,0.8192216267766523,0.8449210538141082,0.7370592381563246
checkpoint-7000-inputs-refs-preds-1000-examples,0.7612011240169885,0.7753355982699801,0.6140281469536483,1.337298030480386
checkpoint-7500-inputs-refs-preds-1000-examples,0.9328256663090547,0.850585232465926,2.154868340999386,1.6938250041278158
checkpoint-8000-inputs-refs-preds-1000-examples,0.6128460040003252,0.26827801438696003,0.4235276154698132,1.7242131024147769
checkpoint-8500-inputs-refs-preds-1000-examples,0.410161992947824,0.35066445474071345,0.7235134868569905,0.24317134361521986
checkpoint-9000-inputs-refs-preds-1000-examples,1.8627930080608799,1.13369294618081,1.4099365573787195,1.7836885175120774
checkpoint-9500-inputs-refs-preds-1000-examples,0.995014416293334,2.9161981723288837,1.3865109086419944,1.959901325825074
