model,gpt-5-mini_theta,google/gemini-2.5-flash-preview-05-20_theta,anthropic/claude-3-5-haiku-20241022_theta,mistral-medium-latest_theta
GPT4o-mini,3347343.512323602,425757.60771552945,61.330761001897294,127573.08952319046
checkpoint-1000-gen0-inputs-refs-preds-1000-examples,1.0434583515938107,0.8068763814176713,1.0541544370951215,0.8710620644772136
checkpoint-1000-gen1-inputs-refs-preds-1000-examples,0.3479039290186716,0.3611504992578174,0.5700286476880696,0.4172991870615191
checkpoint-10000-gen0-inputs-refs-preds-1000-examples,4.217028197935474,2.767080335728167,2.0443954742034864,3.437798477247204
checkpoint-10000-gen1-inputs-refs-preds-1000-examples,0.7268350540083703,0.8605465220809164,0.972642375487079,1.0653780644765831
checkpoint-1500-gen0-inputs-refs-preds-1000-examples,0.5131624609218935,0.6151688292828745,0.6569737882521812,0.7732085869557301
checkpoint-1500-gen1-inputs-refs-preds-1000-examples,0.2290415957000533,0.15967501619336746,0.26973299492918945,0.15390533755523558
checkpoint-2000-gen0-inputs-refs-preds-1000-examples,1.3556824958044964,0.6288496115318405,0.6514121083659642,0.5043645246638294
checkpoint-2000-gen1-inputs-refs-preds-1000-examples,0.07975821517446317,0.12424160963536164,0.08882157416130677,0.1025798270752544
checkpoint-2500-gen0-inputs-refs-preds-1000-examples,1.2672929975877454,1.3769345468852343,1.0679097002637803,1.1342991891349399
checkpoint-2500-gen1-inputs-refs-preds-1000-examples,0.2640249038863254,0.18294506296135474,0.3514946395819518,0.21895402054658417
checkpoint-3000-gen0-inputs-refs-preds-1000-examples,1.0495992340253926,1.1419438533156436,1.1110402760627482,0.7261723326570979
checkpoint-3000-gen1-inputs-refs-preds-1000-examples,0.2948381198562965,0.2981759473693932,0.3581487868461011,0.11731699635927015
checkpoint-3500-gen0-inputs-refs-preds-1000-examples,0.5870444434764772,0.7565202465704423,1.0770822262276953,0.7809487632402935
checkpoint-3500-gen1-inputs-refs-preds-1000-examples,0.07404190531331639,0.12850387925510692,0.16351515279224282,0.12920768066757488
checkpoint-4000-gen0-inputs-refs-preds-1000-examples,0.4199358501556236,0.4076044422583168,0.4519543428491009,0.5137412336561792
checkpoint-4000-gen1-inputs-refs-preds-1000-examples,0.3595248154759482,0.2469315674185101,0.3831364439154513,0.4235138413825808
checkpoint-4500-gen0-inputs-refs-preds-1000-examples,1.012913815294212,0.602654038643468,1.4738272600460252,1.1176490638451293
checkpoint-4500-gen1-inputs-refs-preds-1000-examples,0.2482696530889604,0.17394353971395612,0.3687433687097009,0.22081906240610624
checkpoint-500-gen0-inputs-refs-preds-1000-examples,1.3755516636241092,1.0843668382235463,2.5213803293816284,1.0768329663377403
checkpoint-500-gen1-inputs-refs-preds-1000-examples,0.3635997846028974,0.4251524205874594,0.6067442394892492,0.3743401613670256
checkpoint-5000-gen0-inputs-refs-preds-1000-examples,0.5485730780799427,0.4577612964823307,0.575686210177834,0.43187071489169654
checkpoint-5000-gen1-inputs-refs-preds-1000-examples,0.3676903476076074,0.5730086757018504,1.0460243826133766,0.3754700503283597
checkpoint-5500-gen0-inputs-refs-preds-1000-examples,0.8458275729342797,1.501300912798648,1.344157176644951,1.4676234618261579
checkpoint-5500-gen1-inputs-refs-preds-1000-examples,0.47412110876524566,0.5454295165539184,0.5373576402137706,0.5073573510610423
checkpoint-6000-gen0-inputs-refs-preds-1000-examples,1.1529031328988633,1.9474476588196428,2.785168181668591,2.484544131007782
checkpoint-6000-gen1-inputs-refs-preds-1000-examples,0.9743829707858014,0.8819390606940859,1.3216243370145968,1.0113194505146972
checkpoint-6500-gen0-inputs-refs-preds-1000-examples,0.5094689368211608,0.5357815551555508,0.7825523429119137,0.7172994873233606
checkpoint-6500-gen1-inputs-refs-preds-1000-examples,1.350858087071843,1.876562926438795,3.112778238694997,2.49126224489923
checkpoint-7000-gen0-inputs-refs-preds-1000-examples,1.0310273920074227,1.0483719520531924,1.737908641618168,1.3025609532438405
checkpoint-7000-gen1-inputs-refs-preds-1000-examples,0.945540456833706,0.7285957523344014,1.348209605424664,0.5780652986566821
checkpoint-7500-gen0-inputs-refs-preds-1000-examples,0.9220507066973599,0.9856999979021277,1.0405563354401024,1.26354821798064
checkpoint-7500-gen1-inputs-refs-preds-1000-examples,1.8081299623955558,4.105053857724473,2.1031916751394237,2.1022518780397066
checkpoint-8000-gen0-inputs-refs-preds-1000-examples,3.387952657584973,5.867114397017927,6.640249033714443,6.1273391204450665
checkpoint-8000-gen1-inputs-refs-preds-1000-examples,1.8265118333437196,1.1725047389115124,1.2512585564609338,1.2588502735560738
checkpoint-8500-gen0-inputs-refs-preds-1000-examples,0.42424149417813223,0.9157426863354592,0.8950097179836238,0.7787321493170127
checkpoint-8500-gen1-inputs-refs-preds-1000-examples,1.0056603427072732,1.117518697916795,0.9207851862882751,1.2229277198588056
checkpoint-9000-gen0-inputs-refs-preds-1000-examples,1.127205516304377,1.3052215206835798,1.8952913587280613,1.6892861889883273
checkpoint-9000-gen1-inputs-refs-preds-1000-examples,1.0730041161795618,1.4293972588162633,1.257759084063535,1.1029604388814473
checkpoint-9500-gen0-inputs-refs-preds-1000-examples,1.1884424328214942,1.1248783253882602,1.0409910802314384,1.4493641126245906
checkpoint-9500-gen1-inputs-refs-preds-1000-examples,0.6408474096383995,0.6420405528147451,1.034191723507968,0.9620610268740275
