dokument_id,doc_type,kommune,tittel,url
db99678c-8d27-5a2e-9174-3f5a28eda2d6,case_presentation,5501,Partssammensatt arbeid i Tromsø kommune,https://innsyn.tromso.kommune.no/application/getMoteDokument?dokid=2002048120
fc3e88fa-22c6-50ac-91b0-f8cce96d3713,case_presentation,5536,"Delegerte saker(Hoveddokument, 68KB)",https://innsyn.lyngen.kommune.no/wfdocument.aspx?journalpostid=2013060766&dokid=121253&versjon=2&variant=A&
47fbd11d-502d-5088-96fc-c95516958680,case_attachment,4601,Situasjonsplan,https://bergen.kommune.no/politikere-utvalg/api/fil/bk360/10120809/Situasjonsplan
dcd5f2b3-8f62-5b2c-8b82-21bd0692362a,case_minutes,4601,"Saksprotokoll KRPF, 18032025, Sak 57/25, Hunder på skoler",https://bergen.kommune.no/politikere-utvalg/api/fil/bk360/12477030/Innstilling-vedtak-Hunder-pa-skoler
dd8dd2f2-7a80-5a3a-a1ec-443dfee75d54,case_minutes,4601,"Saksprotokoll UNGR, 07022024, Sak 11/24, Godkjenning av protokoll",https://bergen.kommune.no/politikere-utvalg/api/fil/bk360/9903453/Innstilling-vedtak-Godkjenning-av-protokoll
724a877f-bc04-56e9-a3c7-a910a4c4ed77,case_minutes,4601,"Saksprotokoll KRPF, 06052025, Sak 88/25, Eidsvåg skole. Rehabilitering og nybygg. Sluttmelding",https://bergen.kommune.no/politikere-utvalg/api/fil/bk360/12626541/Innstilling-vedtak-Eidsvag-skole-Rehabilitering-og-nybygg-Sluttmelding
1f23dd00-81be-5420-8808-caa824d84a63,case_attachment,4601,Presentasjon - Kontrollutvalget - Samfunnssikkerhet og beredskap,https://bergen.kommune.no/politikere-utvalg/api/fil/bk360/12589479/Presentasjon-Kontrollutvalget-Samfunnssikkerhet-og-beredskap
0d6a6abc-e321-5d99-84fe-c7e14aa8b3e4,case_attachment,4601,Kostandsskjema til GV,https://bergen.kommune.no/politikere-utvalg/api/fil/bk360/10719954/Kostandsskjema-til-GV
5458f066-d502-54c5-875d-f5535387dc10,case_presentation,4601,Digitale fakturaer fra kommunen,https://bergen.kommune.no/politikere-utvalg/api/fil/bk360/10921656/Framstilling-Digitale-fakturaer-fra-kommunen
b5cbcc83-da19-5973-8740-9782d3eaec9d,case_attachment,4601,Høring - Ber om innspel frå kommunar - Båtanbod Hordaland 2026-2028,https://bergen.kommune.no/politikere-utvalg/api/fil/bk360/9822975/Horing-Ber-om-innspel-fra-kommunar-Batanbod-Hordaland-2026-2028
26124fb9-219c-5bac-870f-d568eaf87279,case_presentation,4601,Byrådens kvarter,https://bergen.kommune.no/politikere-utvalg/api/fil/bk360/11386737/Framstilling-Byradens-kvarter
1e9ae732-efdb-5b9c-8671-590407b0a62a,case_attachment,4601,Plankart 05.10.2023,https://bergen.kommune.no/politikere-utvalg/api/fil/bk360/9239560/Plankart-05-10-2023
b492c6ae-8b0a-5b7e-9569-2f6d5a113158,case_attachment,4601,Klage datert 18.01.2024,https://bergen.kommune.no/politikere-utvalg/api/fil/bk360/9910164/Klage-datert-18-01-2024
99a710a1-8a45-57d6-8c1b-a1eadab35946,case_attachment,4601,Høringsinnspill fra STATSFORVALTAREN I VESTLAND,https://bergen.kommune.no/politikere-utvalg/api/fil/bk360/10999708/Horingsinnspill-fra-STATSFORVALTAREN-I-VESTLAND
7918c513-f4ba-57f9-9b45-aa60407b752e,case_presentation,4601,Orienteringer 23.05.2025,https://bergen.kommune.no/politikere-utvalg/api/fil/bk360/12321764/Framstilling-Orienteringer-23-05-2025
e80ac8cd-d75f-5cb1-80f8-3a38ad6eda1c,case_attachment,4601,Referat fra UBSI AU 23.01.2024,https://bergen.kommune.no/politikere-utvalg/api/fil/bk360/9746066/Referat-fra-UBSI-AU-23-01-2024
bfcb2bae-77a8-5bf1-8a26-5fd32c3d0e3d,case_attachment,4601,Høringsuttalelse - Nasjonal veileder for kommunelegefunksjonen og samfunnsmedisinsk arbeid i kommunen,https://bergen.kommune.no/politikere-utvalg/api/fil/bk360/11167225/Horingsuttalelse-Nasjonal-veileder-for-kommunelegefunksjonen-og-samfunnsmedisinsk-arbeid-i-kommunen
6d691430-f4ec-51da-97e7-1386f1920488,case_attachment,4601,"§ 4-8 Aktivt pusterom AS, Åpent Hus i Ungdomshuset i Fyllingsdalen",https://bergen.kommune.no/politikere-utvalg/api/fil/bk360/9614752/-4-8-Aktivt-pusterom-AS-Apent-Hus-i-Ungdomshuset-i-Fyllingsdalen
3c04d641-459a-5ce6-a99b-f017f2498b0f,case_presentation,4601,Omrokeringer av varamedlemmer i utvalgene for Høyre,https://bergen.kommune.no/politikere-utvalg/api/fil/bk360/9636878/Framstilling-Omrokeringer-av-varamedlemmer-i-utvalgene-for-Hoyre
c23879ca-6b56-552b-84a4-68d36d8736ae,case_presentation,4601,"Saker til gjennomsyn i utvalg for finans, kultur og næring 17.01.2024",https://bergen.kommune.no/politikere-utvalg/api/fil/bk360/9656059/Framstilling-Saker-til-gjennomsyn-i-utvalg-for-finans-kultur-og-naering-17-01-2024
5fe07f1c-768f-5994-b8fc-2a44482000b4,case_attachment,4601,05.1_Illustrasjonsplan Sol og skygge MUA 4timer sol datert 12.09.2024,https://bergen.kommune.no/politikere-utvalg/api/fil/bk360/11375223/05-1-Illustrasjonsplan-Sol-og-skygge-MUA-4timer-sol-datert-12-09-2024
66a0d322-6f58-5c9b-bda1-d5d5a09017f5,case_minutes,4601,"Saksprotokoll UMBY, 18012024, Sak 16/24, Fana, gnr, 6 bnr. 205, Helldalsstølen 49. Klage fra naboer på vedtak om rammetillatelse for nybygg/boliger",https://bergen.kommune.no/politikere-utvalg/api/fil/bk360/9746186/Innstilling-vedtak-Fana-gnr-6-bnr-205-Helldalsstolen-49-Klage-fra-naboer-pa-vedtak-om-rammetillatelse-for-nybygg-boliger
22852dd7-3185-52f7-80ac-12fd18871150,case_presentation,4601,Redegjørelse om CRPD i kommunens tjenester,https://bergen.kommune.no/politikere-utvalg/api/fil/bk360/10755425/Framstilling-Redegjorelse-om-CRPD-i-kommunens-tjenester
2964b07c-91ae-5743-a169-96a1e9bf5041,case_attachment,4601,Alternativanalyse - Vedlegg 2 ,https://bergen.kommune.no/politikere-utvalg/api/fil/bk360/10119558/Alternativanalyse-Vedlegg-2-
