model,gpt-3.5-turbo_theta,google/gemini-2.5-flash-preview-05-20_theta,anthropic/claude-3-5-haiku-20241022_theta,mistral-medium-latest_theta
GPT4o-mini,2.6106587452516394,4.31410458533954,6.009386663471668,4.015222872579374
checkpoint-1000-inputs-refs-preds-1000-examples,0.6943004296123918,0.6551970797626873,0.9564743792137315,0.5486033192507297
checkpoint-10000-inputs-refs-preds-1000-examples,0.743747704249309,1.2817838983370204,0.878481112642426,0.9322740492173763
checkpoint-1500-inputs-refs-preds-1000-examples,1.1286373448104436,1.1811538019976349,0.9758520981651877,1.1221975015289
checkpoint-2000-inputs-refs-preds-1000-examples,1.756717736357043,1.1780163386606533,0.7436428832901805,1.3436248076759525
checkpoint-2500-inputs-refs-preds-1000-examples,0.8328883870436793,0.5998348788865965,0.9932017022861245,0.7443729013598482
checkpoint-3000-inputs-refs-preds-1000-examples,1.369676317673363,1.0676279762146528,0.8608828420180228,1.2423340206563838
checkpoint-3500-inputs-refs-preds-1000-examples,0.5999759436755638,0.8001239358313824,0.7244753737092379,0.6830484198865328
checkpoint-4000-inputs-refs-preds-1000-examples,1.1752785880134529,0.8709316672932568,1.257342864211417,1.199897941781628
checkpoint-4500-inputs-refs-preds-1000-examples,0.8241447356901046,1.5885975278221518,2.0469282253414036,1.4347913045315037
checkpoint-5000-inputs-refs-preds-1000-examples,1.5139623495305328,0.6813285396380349,0.5701039699198839,0.8823273891201481
checkpoint-5500-inputs-refs-preds-1000-examples,0.9168895153323084,0.7831354772027235,0.7428684953954435,0.7247461678712469
checkpoint-6000-inputs-refs-preds-1000-examples,0.9640568263953873,0.7306342928617905,0.6448501205829017,0.8024780817201609
checkpoint-6500-inputs-refs-preds-1000-examples,0.909665816132456,1.0192529908303796,1.0209015264975474,0.9708037919715026
checkpoint-7000-inputs-refs-preds-1000-examples,1.0565215400500274,0.993701155632592,0.9422766079122384,0.9193964416224659
checkpoint-7500-inputs-refs-preds-1000-examples,0.8998508026621068,0.6705253365477833,0.9072054243433998,0.6709638200540838
checkpoint-8000-inputs-refs-preds-1000-examples,1.116820468841938,0.8318383645682047,1.0226416108839704,1.5159818043348843
checkpoint-8500-inputs-refs-preds-1000-examples,0.5230407612871131,1.2269054068570926,1.008612655197375,0.8354524182602061
checkpoint-9000-inputs-refs-preds-1000-examples,0.9093516268834013,0.8660862218357249,0.7319793480347896,0.7389938859389271
checkpoint-9500-inputs-refs-preds-1000-examples,0.9179548319459575,1.195639464702809,0.9512940721979858,1.032496838510565
