dimension,judge,model,beta,theta,optimizer_success,n_comparisons
relevance,gpt-5-mini,GPT4o-mini,1.6473412999797425,5.193154416761281,True,520
relevance,gpt-5-mini,checkpoint-1000-gen1-inputs-refs-preds-1000-examples,0.7220128196050558,2.058572578590493,True,520
relevance,gpt-5-mini,checkpoint-1000-inputs-refs-preds-1000-examples,-0.05568803940969058,0.9458341528518295,True,520
relevance,gpt-5-mini,checkpoint-10000-gen1-inputs-refs-preds-1000-examples,0.18188034903979045,1.1994706674763969,True,520
relevance,gpt-5-mini,checkpoint-10000-inputs-refs-preds-1000-examples,0.10013217223625714,1.105317000641153,True,520
relevance,gpt-5-mini,checkpoint-1500-gen1-inputs-refs-preds-1000-examples,0.2852746867021527,1.330127346239344,True,520
relevance,gpt-5-mini,checkpoint-1500-inputs-refs-preds-1000-examples,0.16201899079298987,1.175882572051466,True,520
relevance,gpt-5-mini,checkpoint-2000-gen1-inputs-refs-preds-1000-examples,0.05439403608806037,1.0559005831290968,True,520
relevance,gpt-5-mini,checkpoint-2000-inputs-refs-preds-1000-examples,0.23736744148161337,1.2679069137886045,True,520
relevance,gpt-5-mini,checkpoint-2500-gen1-inputs-refs-preds-1000-examples,0.3092408024088471,1.3623903978965473,True,520
relevance,gpt-5-mini,checkpoint-2500-inputs-refs-preds-1000-examples,0.4721462439137889,1.6034318587313996,True,520
relevance,gpt-5-mini,checkpoint-3000-gen1-inputs-refs-preds-1000-examples,0.1598593714089318,1.173345853414786,True,520
relevance,gpt-5-mini,checkpoint-3000-inputs-refs-preds-1000-examples,-0.08056624150845937,0.922593787555387,True,520
relevance,gpt-5-mini,checkpoint-3500-gen1-inputs-refs-preds-1000-examples,-0.3468703703194853,0.706896957145421,True,520
relevance,gpt-5-mini,checkpoint-3500-inputs-refs-preds-1000-examples,0.42754143640902553,1.5334827203691743,True,520
relevance,gpt-5-mini,checkpoint-4000-gen1-inputs-refs-preds-1000-examples,-0.1524665978929589,0.8585875721114244,True,520
relevance,gpt-5-mini,checkpoint-4000-inputs-refs-preds-1000-examples,0.5322846299142034,1.7028181773888431,True,520
relevance,gpt-5-mini,checkpoint-4500-gen1-inputs-refs-preds-1000-examples,-0.5601970852157467,0.5710964980801185,True,520
relevance,gpt-5-mini,checkpoint-4500-inputs-refs-preds-1000-examples,-0.39256744891246353,0.675320795163215,True,520
relevance,gpt-5-mini,checkpoint-500-gen0-inputs-refs-preds-1000-examples,0.22464670645037632,1.2518803568001475,True,520
relevance,gpt-5-mini,checkpoint-500-gen1-inputs-refs-preds-1000-examples,-0.8598116707400003,0.42324178362438014,True,520
relevance,gpt-5-mini,checkpoint-5000-gen1-inputs-refs-preds-1000-examples,-0.6336000452954098,0.5306778935431604,True,520
relevance,gpt-5-mini,checkpoint-5000-inputs-refs-preds-1000-examples,-0.4605942262184539,0.6309086316460537,True,520
relevance,gpt-5-mini,checkpoint-5500-gen1-inputs-refs-preds-1000-examples,-0.00165110975495808,0.9983502525768637,True,520
relevance,gpt-5-mini,checkpoint-5500-inputs-refs-preds-1000-examples,-0.22577024377016097,0.7979014034257417,True,520
relevance,gpt-5-mini,checkpoint-6000-gen1-inputs-refs-preds-1000-examples,0.28662286521339153,1.3319218046981232,True,520
relevance,gpt-5-mini,checkpoint-6000-inputs-refs-preds-1000-examples,0.5589504253938629,1.7488360028352687,True,520
relevance,gpt-5-mini,checkpoint-6500-gen1-inputs-refs-preds-1000-examples,-0.7638791502412852,0.46585579280828837,True,520
relevance,gpt-5-mini,checkpoint-6500-inputs-refs-preds-1000-examples,0.16427510941718948,1.1785384975370485,True,520
relevance,gpt-5-mini,checkpoint-7000-gen1-inputs-refs-preds-1000-examples,-0.282406800708779,0.7539669078663209,True,520
relevance,gpt-5-mini,checkpoint-7000-inputs-refs-preds-1000-examples,0.12757976117853032,1.1360754793466217,True,520
relevance,gpt-5-mini,checkpoint-7500-gen1-inputs-refs-preds-1000-examples,-0.5842643174582764,0.5575158656664476,True,520
relevance,gpt-5-mini,checkpoint-7500-inputs-refs-preds-1000-examples,0.17323854090277258,1.1891497321049926,True,520
relevance,gpt-5-mini,checkpoint-8000-gen1-inputs-refs-preds-1000-examples,-0.5544369866383867,0.5743955625529729,True,520
relevance,gpt-5-mini,checkpoint-8000-inputs-refs-preds-1000-examples,0.09027825488610497,1.0944787854084805,True,520
relevance,gpt-5-mini,checkpoint-8500-gen1-inputs-refs-preds-1000-examples,0.169186664028665,1.1843411921902292,True,520
